Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
TH,Schmalkalden-Meiningen,16066055,Rentwertshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066056,Rippershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066057,Ritschenhausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066058,Rohr,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066059,Rosa,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066061,Roßdorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066062,Rotterode,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066063,Schmalkalden,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066064,Schwallungen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066065,Schwarza,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066066,Schwickershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066067,Springstille,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066069,Steinbach-Hallenberg,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066071,Stepfershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066073,Sülzfeld,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066074,Trusetal,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066075,Unterkatz,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066076,Untermaßfeld,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066077,Unterschönau,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066078,Unterweid,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066079,Utendorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066081,Vachdorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066082,Viernau,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066083,Wahns,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066084,Wallbach,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066085,Walldorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066086,Wasungen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066087,Wernshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066088,Wölfershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066091,Wolfmannshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066092,Zella-Mehlis,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066093,Rhönblick,2,,16066,,covered by DC rule!
TH,Gotha,16067001,Apfelstädt,2,,16067,,DC rule (DC 16067)
TH,Gotha,16067002,Aspach,3,,16067,,covered by DC rule!
TH,Gotha,16067003,Ballstädt,2,,16067,,covered by DC rule!
TH,Gotha,16067004,Bienstädt,2,,16067,,covered by DC rule!
TH,Gotha,16067005,Brüheim,3,,16067,,covered by DC rule!
TH,Gotha,16067006,Bufleben,2,,16067,,covered by DC rule!
TH,Gotha,16067008,Crawinkel,3,,16067,,covered by DC rule!
TH,Gotha,16067009,Dachwig,2,,16067,,covered by DC rule!
TH,Gotha,16067011,Döllstädt,2,,16067,,covered by DC rule!
